normal,uniform,poisson
2.5722919,1.8443246,5.0
-0.056623936,2.249948,7.0
5.5110655,1.1589739,3.0
1.0518628,2.7874393,9.0
0.9034653,1.3986698,4.0
-3.2232475,1.6504953,5.0
1.5443959,1.0982932,2.0
1.8809631,1.9104927,6.0
1.6296461,1.2406002,3.0
1.7704916,2.2506428,7.0
5.8652563,2.7351265,9.0
4.8537693,1.9361376,6.0
0.07689369,1.0430275,2.0
3.4010396,2.722467,9.0
1.3192301,2.4688487,7.0
1.903744,1.740483,5.0
1.4853154,2.5738187,8.0
4.9338923,2.1585002,6.0
5.4159584,2.1925943,6.0
0.503428,2.4021983,7.0
-1.49091,2.4064898,7.0
-1.0763841,2.6623063,8.0
-0.17085338,2.2910585,7.0
-4.835586,2.0880122,6.0
-3.2835493,2.0644925,6.0
1.7138444,2.2007766,6.0
3.8965688,1.1656466,3.0
4.9373665,2.418677,7.0
-4.9102993,1.5365953,4.0
3.937263,2.9056432,10.0
7.120051,2.724461,9.0
-3.0879984,1.0029075,0.0
2.5252001,1.1008583,2.0
2.0156236,1.0117115,1.0
3.6654851,2.2746372,7.0
1.7171063,1.8267827,5.0
6.333373,1.3947012,4.0
2.6597452,1.6193104,5.0
2.862832,2.2545218,7.0
4.020527,2.18612,6.0
9.73871,2.6685658,8.0
-2.630496,2.468464,7.0
-2.2938905,2.2431917,7.0
7.029173,1.8493166,5.0
0.37975872,1.1606706,3.0
5.9338427,1.9122782,6.0
5.3533955,2.684822,8.0
-2.0109863,1.1381605,3.0
2.8091326,1.5303628,4.0
-0.06923866,1.2770503,3.0
-0.3731637,2.7653937,9.0
0.6850885,1.6141093,5.0
-1.0064967,1.2875596,3.0
3.2273254,2.7965934,9.0
2.5126364,1.8792464,5.0
1.9414896,2.0575385,6.0
-1.1863878,2.155786,6.0
3.4796631,1.3082823,4.0
-1.3389344,1.1229744,2.0
1.1213788,1.427458,4.0
2.564257,2.3063056,7.0
1.6329701,2.8983164,10.0
2.8864539,2.2541685,7.0
2.6269727,1.4891984,4.0
2.4543018,2.4008455,7.0
1.4214923,2.6837034,8.0
1.6671976,2.5524979,8.0
2.3995612,2.7975645,9.0
2.1066673,1.380414,4.0
4.868546,2.9184594,11.0
5.645747,1.0206403,1.0
1.4194903,2.7229586,9.0
0.058343172,2.9377136,11.0
4.7865114,1.6115282,5.0
0.12862754,2.3625507,7.0
1.2061657,1.2079722,3.0
0.26038432,2.6106462,8.0
7.276829,2.8439221,10.0
-2.4135857,2.176579,6.0
2.3180637,2.941947,11.0
-1.4221053,2.434413,7.0
-2.7699986,2.972577,12.0
6.1537547,1.8009278,5.0
2.852712,1.6410035,5.0
